('Rubik', 'ORG', 'Q20727062', 'https://www.wikidata.org/wiki/Q20727062', 0.4757)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3992)
('State Space Representation', 'ORG', 'Q230945', 'https://www.wikidata.org/wiki/Q230945', 0.4724)
('State Space Search', 'ORG', 'Q2033871', 'https://www.wikidata.org/wiki/Q2033871', 0.6117)
('Search', 'ORG', 'Q3953588', 'https://www.wikidata.org/wiki/Q3953588', 0.3889)
('Iterative Deepening', 'PERSON', 'Q1675274', 'https://www.wikidata.org/wiki/Q1675274', 0.5888)
('Hill', 'PERSON', 'Q3195039', 'https://www.wikidata.org/wiki/Q3195039', 0.374)
('1874', 'DATE', 'Q4646180', 'https://www.wikidata.org/wiki/Q4646180', 0.3909)
('Sam Loyd', 'PERSON', 'Q337325', 'https://www.wikidata.org/wiki/Q337325', 0.6865)
('Sam Loyd', 'PERSON', 'Q337325', 'https://www.wikidata.org/wiki/Q337325', 0.6865)
('1,000', 'MONEY', 'Q43016', 'https://www.wikidata.org/wiki/Q43016', 0.3613)
('Concordia', 'GPE', 'Q1913996', 'https://www.wikidata.org/wiki/Q1913996', 0.4099)
('State Space', 'FAC', 'Q230930', 'https://www.wikidata.org/wiki/Q230930', 0.4112)
('Concordia', 'GPE', 'Q1913996', 'https://www.wikidata.org/wiki/Q1913996', 0.4099)
('Assigns', 'PERSON', 'Q315364', 'https://www.wikidata.org/wiki/Q315364', 0.4357)
('State Graph\n\n', 'ORG', 'Q230885', 'https://www.wikidata.org/wiki/Q230885', 0.3721)
('1013', 'DATE', 'Q19241', 'https://www.wikidata.org/wiki/Q19241', 0.3986)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3992)
('State Space Representation', 'ORG', 'Q230945', 'https://www.wikidata.org/wiki/Q230945', 0.4724)
('State Space Search', 'ORG', 'Q2033871', 'https://www.wikidata.org/wiki/Q2033871', 0.4943)
('Search', 'ORG', 'Q3953588', 'https://www.wikidata.org/wiki/Q3953588', 0.3889)
('Iterative Deepening', 'PERSON', 'Q1675274', 'https://www.wikidata.org/wiki/Q1675274', 0.475)
('Hill', 'PERSON', 'Q3195039', 'https://www.wikidata.org/wiki/Q3195039', 0.374)
('Uninformed', 'ORG', 'Q815577', 'https://www.wikidata.org/wiki/Q815577', 0.2852)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3984)
('State Space Representation', 'ORG', 'Q230945', 'https://www.wikidata.org/wiki/Q230945', 0.4724)
('State Space Search', 'ORG', 'Q2033871', 'https://www.wikidata.org/wiki/Q2033871', 0.7166)
('Search', 'ORG', 'Q3953588', 'https://www.wikidata.org/wiki/Q3953588', 0.3879)
