('Perceptron', 'ORG', 'Q690207', 'https://www.wikidata.org/wiki/Q690207', 0.7076)
('Backpropagation', 'ORG', 'Q798503', 'https://www.wikidata.org/wiki/Q798503', 0.7238)
('Today', 'DATE', 'Q4353208', 'https://www.wikidata.org/wiki/Q4353208', 0.3851)
('Neural Networks', 'ORG', 'Q55624999', 'https://www.wikidata.org/wiki/Q55624999', 0.6282)
('Neural Networks', 'ORG', 'Q55624999', 'https://www.wikidata.org/wiki/Q55624999', 0.6282)
('Biological Neurons', 'ORG', 'Q1651163', 'https://www.wikidata.org/wiki/Q1651163', 0.4417)
('Neuron', 'GPE', 'Q43054', 'https://www.wikidata.org/wiki/Q43054', 0.867)
('Today', 'DATE', 'Q4353208', 'https://www.wikidata.org/wiki/Q4353208', 0.3851)
('Neural Networks', 'ORG', 'Q55624999', 'https://www.wikidata.org/wiki/Q55624999', 0.6282)
('Perceptron', 'NORP', 'Q690207', 'https://www.wikidata.org/wiki/Q690207', 0.7076)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.474)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('1998', 'DATE', 'Q2089', 'https://www.wikidata.org/wiki/Q2089', 0.3574)
('Richard', 'PERSON', 'Q2978735', 'https://www.wikidata.org/wiki/Q2978735', 0.3706)
('last year', 'DATE', 'Q77927099', 'https://www.wikidata.org/wiki/Q77927099', 0.3764)
('this year', 'DATE', 'Q4583838', 'https://www.wikidata.org/wiki/Q4583838', 0.3615)
('Richard', 'PERSON', 'Q2978735', 'https://www.wikidata.org/wiki/Q2978735', 0.3706)
('Gail', 'PERSON', 'Q876978', 'https://www.wikidata.org/wiki/Q876978', 0.3809)
('1998', 'DATE', 'Q2089', 'https://www.wikidata.org/wiki/Q2089', 0.3574)
('last \nyear', 'DATE', 'Q77927099', 'https://www.wikidata.org/wiki/Q77927099', 0.3764)
('this \nyear', 'DATE', 'Q4583838', 'https://www.wikidata.org/wiki/Q4583838', 0.3615)
('Richard', 'PERSON', 'Q2978735', 'https://www.wikidata.org/wiki/Q2978735', 0.3706)
('last year', 'DATE', 'Q77927099', 'https://www.wikidata.org/wiki/Q77927099', 0.3764)
('this year', 'DATE', 'Q4583838', 'https://www.wikidata.org/wiki/Q4583838', 0.3615)
('Richard', 'PERSON', 'Q2978735', 'https://www.wikidata.org/wiki/Q2978735', 0.3706)
('Gail', 'PERSON', 'Q876978', 'https://www.wikidata.org/wiki/Q876978', 0.3809)
('’s', 'NORP', 'Q3631750', 'https://www.wikidata.org/wiki/Q3631750', 0.3822)
('Richard', 'PERSON', 'Q2978735', 'https://www.wikidata.org/wiki/Q2978735', 0.3706)
('Alan', 'PERSON', 'Q178054', 'https://www.wikidata.org/wiki/Q178054', 0.3706)
('≥', 'PERSON', 'Q28113351', 'https://www.wikidata.org/wiki/Q28113351', 0.5706)
('Alison', 'PERSON', 'Q10853873', 'https://www.wikidata.org/wiki/Q10853873', 0.3731)
('Jeff', 'PERSON', 'Q44137', 'https://www.wikidata.org/wiki/Q44137', 0.3694)
('Gail', 'PERSON', 'Q876978', 'https://www.wikidata.org/wiki/Q876978', 0.3809)
('≥', 'PERSON', 'Q28113351', 'https://www.wikidata.org/wiki/Q28113351', 0.5706)
('Simon', 'PERSON', 'Q741948', 'https://www.wikidata.org/wiki/Q741948', 0.3777)
('last year', 'DATE', 'Q77927099', 'https://www.wikidata.org/wiki/Q77927099', 0.3764)
('this year', 'DATE', 'Q4583838', 'https://www.wikidata.org/wiki/Q4583838', 0.3615)
('Richard', 'PERSON', 'Q2978735', 'https://www.wikidata.org/wiki/Q2978735', 0.3706)
('Gail', 'PERSON', 'Q876978', 'https://www.wikidata.org/wiki/Q876978', 0.3809)
('≥', 'PERSON', 'Q28113351', 'https://www.wikidata.org/wiki/Q28113351', 0.5706)
('C1', 'NORP', 'Q868473', 'https://www.wikidata.org/wiki/Q868473', 0.5145)
('C1', 'NORP', 'Q868473', 'https://www.wikidata.org/wiki/Q868473', 0.5145)
('C1', 'ORG', 'Q868473', 'https://www.wikidata.org/wiki/Q868473', 0.5145)
('Bias', 'PERSON', 'Q742736', 'https://www.wikidata.org/wiki/Q742736', 0.4871)
('21', 'DATE', 'Q155169', 'https://www.wikidata.org/wiki/Q155169', 0.3644)
('\uf0e7', 'ORG', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('\uf0e7', 'ORG', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('1995', 'DATE', 'Q2068', 'https://www.wikidata.org/wiki/Q2068', 0.356)
('\uf0e7', 'ORG', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('\uf0e7', 'ORG', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.474)
('Perceptron', 'GPE', 'Q690207', 'https://www.wikidata.org/wiki/Q690207', 0.8981)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.474)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.474)
('Perceptron', 'GPE', 'Q690207', 'https://www.wikidata.org/wiki/Q690207', 0.8981)
('1969', 'DATE', 'Q754020', 'https://www.wikidata.org/wiki/Q754020', 0.387)
('Minsky', 'PERSON', 'Q204815', 'https://www.wikidata.org/wiki/Q204815', 0.5557)
('Papert', 'PERSON', 'Q335027', 'https://www.wikidata.org/wiki/Q335027', 0.6237)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.4103)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.4103)
('XOR', 'ORG', 'Q498186', 'https://www.wikidata.org/wiki/Q498186', 0.4625)
('XOR', 'ORG', 'Q498186', 'https://www.wikidata.org/wiki/Q498186', 0.4625)
('Luger', 'PERSON', 'Q154199', 'https://www.wikidata.org/wiki/Q154199', 0.4103)
('1970', 'DATE', 'Q2474', 'https://www.wikidata.org/wiki/Q2474', 0.356)
('Today', 'DATE', 'Q130838', 'https://www.wikidata.org/wiki/Q130838', 0.3612)
('Neural Networks', 'ORG', 'Q55624999', 'https://www.wikidata.org/wiki/Q55624999', 0.4604)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('Andrew Ng', 'PERSON', 'Q2846695', 'https://www.wikidata.org/wiki/Q2846695', 0.4269)
('Wikipedia', 'ORG', 'Q52', 'https://www.wikidata.org/wiki/Q52', 0.4744)
('Err  ', 'PERSON', 'Q1369252', 'https://www.wikidata.org/wiki/Q1369252', 0.6997)
('Err  ', 'PERSON', 'Q1369252', 'https://www.wikidata.org/wiki/Q1369252', 0.6997)
('Artificial Intelligence', 'ORG', 'Q109875730', 'https://www.wikidata.org/wiki/Q109875730', 0.6523)
('XOR', 'ORG', 'Q498186', 'https://www.wikidata.org/wiki/Q498186', 0.8667)
('\uf0e7', 'ORG', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('XOR', 'ORG', 'Q155516', 'https://www.wikidata.org/wiki/Q155516', 0.6875)
('O5', 'NORP', 'Q2720495', 'https://www.wikidata.org/wiki/Q2720495', 0.405)
('Err  ', 'PERSON', 'Q1369252', 'https://www.wikidata.org/wiki/Q1369252', 0.6997)
('O5', 'NORP', 'Q2720495', 'https://www.wikidata.org/wiki/Q2720495', 0.405)
('XOR', 'ORG', 'Q155516', 'https://www.wikidata.org/wiki/Q155516', 0.6875)
('Compute', 'ORG', 'Q4036474', 'https://www.wikidata.org/wiki/Q4036474', 0.4484)
('XOR', 'ORG', 'Q155516', 'https://www.wikidata.org/wiki/Q155516', 0.6875)
('Update', 'ORG', 'Q7898219', 'https://www.wikidata.org/wiki/Q7898219', 0.3752)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.349)
('W13', 'ORG', 'Q83295', 'https://www.wikidata.org/wiki/Q83295', 0.5872)
