('AI\n\n\nArtificial Intelligence', 'ORG', 'Q221113', 'https://www.wikidata.org/wiki/Q221113', 0.3079)
('Deep Learning', 'PERSON', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('Today', 'DATE', 'Q4353208', 'https://www.wikidata.org/wiki/Q4353208', 0.3851)
('Motivation', 'ORG', 'Q6917873', 'https://www.wikidata.org/wiki/Q6917873', 0.4889)
('Feature Learning', 'ORG', 'Q17013334', 'https://www.wikidata.org/wiki/Q17013334', 0.7021)
('Image Processing', 'ORG', 'Q1070689', 'https://www.wikidata.org/wiki/Q1070689', 0.6643)
('Deep Learning', 'WORK_OF_ART', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('Deep Learning', 'WORK_OF_ART', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('2013', 'DATE', 'Q10856934', 'https://www.wikidata.org/wiki/Q10856934', 0.3925)
('Slide', 'ORG', 'Q85801586', 'https://www.wikidata.org/wiki/Q85801586', 0.438)
('Yoshua Bengio', 'PERSON', 'Q3572699', 'https://www.wikidata.org/wiki/Q3572699', 0.9168)
('Deep Learning', 'WORK_OF_ART', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('Slide', 'ORG', 'Q85801586', 'https://www.wikidata.org/wiki/Q85801586', 0.438)
('Yoshua Bengio', 'PERSON', 'Q3572699', 'https://www.wikidata.org/wiki/Q3572699', 0.9168)
('Breakthroughs', 'PERSON', 'Q3557114', 'https://www.wikidata.org/wiki/Q3557114', 0.3993)
('2010', 'DATE', 'Q215622', 'https://www.wikidata.org/wiki/Q215622', 0.3903)
('Skype Translator', 'ORG', 'Q19881089', 'https://www.wikidata.org/wiki/Q19881089', 0.9168)
('2012', 'DATE', 'Q4624596', 'https://www.wikidata.org/wiki/Q4624596', 0.3903)
('Natural Language Processing', 'WORK_OF_ART', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.715)
('Yoshua Bengio', 'PERSON', 'Q3572699', 'https://www.wikidata.org/wiki/Q3572699', 0.9168)
('2015', 'DATE', 'Q17985317', 'https://www.wikidata.org/wiki/Q17985317', 0.3937)
('Breakthroughs', 'PERSON', 'Q3557114', 'https://www.wikidata.org/wiki/Q3557114', 0.3993)
('2010', 'DATE', 'Q215622', 'https://www.wikidata.org/wiki/Q215622', 0.3903)
('2012', 'DATE', 'Q4624596', 'https://www.wikidata.org/wiki/Q4624596', 0.3903)
('Natural Language Processing', 'WORK_OF_ART', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.715)
('Yoshua Bengio', 'PERSON', 'Q3572699', 'https://www.wikidata.org/wiki/Q3572699', 0.9168)
('2015', 'DATE', 'Q17985317', 'https://www.wikidata.org/wiki/Q17985317', 0.3937)
('NLP', 'ORG', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.7316)
('Question Answering', 'ORG', 'Q1074173', 'https://www.wikidata.org/wiki/Q1074173', 0.698)
('2010', 'DATE', 'Q215622', 'https://www.wikidata.org/wiki/Q215622', 0.3903)
('2012', 'DATE', 'Q4624596', 'https://www.wikidata.org/wiki/Q4624596', 0.3903)
('Natural Language Processing', 'WORK_OF_ART', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.715)
('Today', 'DATE', 'Q4353208', 'https://www.wikidata.org/wiki/Q4353208', 0.3851)
('Motivation', 'ORG', 'Q6917873', 'https://www.wikidata.org/wiki/Q6917873', 0.4889)
('Feature Learning', 'ORG', 'Q17013334', 'https://www.wikidata.org/wiki/Q17013334', 0.7021)
('Image Processing', 'ORG', 'Q1070689', 'https://www.wikidata.org/wiki/Q1070689', 0.6643)
('Deep Learning', 'ORG', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('NLP', 'ORG', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.7316)
('W', 'PERSON', 'Q9964', 'https://www.wikidata.org/wiki/Q9964', 0.3717)
('sigmod', 'PERSON', 'Q7390336', 'https://www.wikidata.org/wiki/Q7390336', 0.5992)
('Hidden', 'ORG', 'Q5751712', 'https://www.wikidata.org/wiki/Q5751712', 0.3697)
('Matrix Notation', 'WORK_OF_ART', 'Q44337', 'https://www.wikidata.org/wiki/Q44337', 0.4603)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('NaN', 'GPE', 'Q858684', 'https://www.wikidata.org/wiki/Q858684', 0.4531)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('Feature Learning', 'FAC', 'Q17013334', 'https://www.wikidata.org/wiki/Q17013334', 0.7021)
('Slide', 'ORG', 'Q85801586', 'https://www.wikidata.org/wiki/Q85801586', 0.438)
('NLP', 'ORG', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.6857)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('Feature Learning', 'FAC', 'Q17013334', 'https://www.wikidata.org/wiki/Q17013334', 0.7021)
('Books', 'GPE', 'Q4943275', 'https://www.wikidata.org/wiki/Q4943275', 0.3612)
('Videos', 'GPE', 'Q25674', 'https://www.wikidata.org/wiki/Q25674', 0.3654)
('Humans', 'NORP', 'Q19572149', 'https://www.wikidata.org/wiki/Q19572149', 0.4105)
('Today', 'DATE', 'Q4353208', 'https://www.wikidata.org/wiki/Q4353208', 0.3851)
('Motivation', 'ORG', 'Q6917873', 'https://www.wikidata.org/wiki/Q6917873', 0.4889)
('Feature Learning', 'ORG', 'Q17013334', 'https://www.wikidata.org/wiki/Q17013334', 0.7021)
('Image Processing', 'ORG', 'Q1070689', 'https://www.wikidata.org/wiki/Q1070689', 0.6643)
('Deep Learning', 'ORG', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('NLP', 'ORG', 'Q30642', 'https://www.wikidata.org/wiki/Q30642', 0.6857)
('ANN', 'ORG', 'Q192776', 'https://www.wikidata.org/wiki/Q192776', 0.8046)
('SVM', 'ORG', 'Q282453', 'https://www.wikidata.org/wiki/Q282453', 0.6886)
('ANN', 'ORG', 'Q192776', 'https://www.wikidata.org/wiki/Q192776', 0.8046)
('Geoffrey Hinton', 'PERSON', 'Q92894', 'https://www.wikidata.org/wiki/Q92894', 0.9092)
('RBM', 'ORG', 'Q7316287', 'https://www.wikidata.org/wiki/Q7316287', 0.5952)
('2006', 'DATE', 'Q2021', 'https://www.wikidata.org/wiki/Q2021', 0.3908)
('Yoshua Bengio', 'PERSON', 'Q3572699', 'https://www.wikidata.org/wiki/Q3572699', 0.9168)
('RBM', 'ORG', 'Q7316287', 'https://www.wikidata.org/wiki/Q7316287', 0.5952)
('Backprop', 'NORP', 'Q798503', 'https://www.wikidata.org/wiki/Q798503', 0.3167)
('Backprop', 'NORP', 'Q798503', 'https://www.wikidata.org/wiki/Q798503', 0.3167)
('Backprop', 'NORP', 'Q798503', 'https://www.wikidata.org/wiki/Q798503', 0.3167)
('c3', 'PERSON', 'Q286954', 'https://www.wikidata.org/wiki/Q286954', 0.1642)
('ANN', 'ORG', 'Q843772', 'https://www.wikidata.org/wiki/Q843772', 0.4594)
('Today', 'DATE', 'Q7812175', 'https://www.wikidata.org/wiki/Q7812175', 0.3851)
('Motivation', 'ORG', 'Q6917873', 'https://www.wikidata.org/wiki/Q6917873', 0.4889)
('Feature Learning', 'ORG', 'Q17013334', 'https://www.wikidata.org/wiki/Q17013334', 0.7021)
('Image Processing', 'ORG', 'Q1070689', 'https://www.wikidata.org/wiki/Q1070689', 0.6643)
('Value', 'ORG', 'Q194112', 'https://www.wikidata.org/wiki/Q194112', 0.3706)
('Convolutional Neural Networks', 'ORG', 'Q17084460', 'https://www.wikidata.org/wiki/Q17084460', 0.6856)
('Standard', 'ORG', 'Q666494', 'https://www.wikidata.org/wiki/Q666494', 0.377)
('ANN', 'ORG', 'Q192776', 'https://www.wikidata.org/wiki/Q192776', 0.8046)
('ANN', 'ORG', 'Q192776', 'https://www.wikidata.org/wiki/Q192776', 0.8046)
('Convolutional Layer', 'PERSON', 'Q17084460', 'https://www.wikidata.org/wiki/Q17084460', 0.5755)
('Convolutional Layer', 'ORG', 'Q17084460', 'https://www.wikidata.org/wiki/Q17084460', 0.5755)
('Convolutional Layer', 'PERSON', 'Q17084460', 'https://www.wikidata.org/wiki/Q17084460', 0.5755)
('Convolutional Layer', 'PERSON', 'Q17084460', 'https://www.wikidata.org/wiki/Q17084460', 0.5755)
('51', 'DATE', 'Q168784', 'https://www.wikidata.org/wiki/Q168784', 0.3274)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('\uf071', 'PERSON', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('Pooling Layer', 'WORK_OF_ART', 'Q17084460', 'https://www.wikidata.org/wiki/Q17084460', 0.4732)
('CNN', 'ORG', 'Q48340', 'https://www.wikidata.org/wiki/Q48340', 0.6937)
('CNN', 'ORG', 'Q48340', 'https://www.wikidata.org/wiki/Q48340', 0.6897)
('Yann LeCun', 'PERSON', 'Q3571662', 'https://www.wikidata.org/wiki/Q3571662', 0.9124)
('1990', 'DATE', 'Q2064', 'https://www.wikidata.org/wiki/Q2064', 0.3908)
('AlexNet', 'GPE', 'Q28325009', 'https://www.wikidata.org/wiki/Q28325009', 0.9128)
('Alex Krizhevsky', 'PERSON', 'Q28018607', 'https://www.wikidata.org/wiki/Q28018607', 0.9028)
('Geoff Hinton', 'ORG', 'Q92894', 'https://www.wikidata.org/wiki/Q92894', 0.9132)
('Toronto', 'GPE', 'Q172', 'https://www.wikidata.org/wiki/Q172', 0.6938)
('2012', 'DATE', 'Q1990', 'https://www.wikidata.org/wiki/Q1990', 0.3926)
('GPU', 'ORG', 'Q183484', 'https://www.wikidata.org/wiki/Q183484', 0.8425)
('GPU', 'ORG', 'Q183484', 'https://www.wikidata.org/wiki/Q183484', 0.8425)
('linguistics', 'PERSON', 'Q8162', 'https://www.wikidata.org/wiki/Q8162', 0.7192)
('linguistics', 'PERSON', 'Q8162', 'https://www.wikidata.org/wiki/Q8162', 0.7192)
('Deep Learning', 'WORK_OF_ART', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.6139)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('\uf071', 'GPE', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3167)
('Canada', 'GPE', 'Q16', 'https://www.wikidata.org/wiki/Q16', 0.6681)
('Deep Learning', 'GPE', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.6139)
('Bengio', 'NORP', 'Q3572699', 'https://www.wikidata.org/wiki/Q3572699', 0.4889)
('Toronto', 'GPE', 'Q172', 'https://www.wikidata.org/wiki/Q172', 0.6938)
('Hinton', 'GPE', 'Q92894', 'https://www.wikidata.org/wiki/Q92894', 0.4889)
('Vector Institute', 'ORG', 'Q4106097', 'https://www.wikidata.org/wiki/Q4106097', 0.6789)
('Edmonton', 'PERSON', 'Q2096', 'https://www.wikidata.org/wiki/Q2096', 0.7048)
('Sutton', 'ORG', 'Q4437087', 'https://www.wikidata.org/wiki/Q4437087', 0.4777)
