('Knowledge Graph', 'PERSON', 'Q33002955', 'https://www.wikidata.org/wiki/Q33002955', 0.5698)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3715)
('Concordia University', 'ORG', 'Q326342', 'https://www.wikidata.org/wiki/Q326342', 0.8926)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3715)
('Jane', 'PERSON', 'Q3039162', 'https://www.wikidata.org/wiki/Q3039162', 0.3768)
('McGill University', 'ORG', 'Q201492', 'https://www.wikidata.org/wiki/Q201492', 0.9164)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3715)
('Concordia', 'GPE', 'Q52578', 'https://www.wikidata.org/wiki/Q52578', 0.4877)
('Montreal', 'GPE', 'Q340', 'https://www.wikidata.org/wiki/Q340', 0.7097)
('McGill', 'ORG', 'Q201492', 'https://www.wikidata.org/wiki/Q201492', 0.6022)
('Montreal', 'GPE', 'Q340', 'https://www.wikidata.org/wiki/Q340', 0.7097)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3715)
('Concordia', 'GPE', 'Q1913996', 'https://www.wikidata.org/wiki/Q1913996', 0.4099)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.4584)
('Concordia University', 'ORG', 'Q326342', 'https://www.wikidata.org/wiki/Q326342', 0.4333)
('’s', 'GPE', 'Q3631750', 'https://www.wikidata.org/wiki/Q3631750', 0.3397)
('Concordia', 'GPE', 'Q1913996', 'https://www.wikidata.org/wiki/Q1913996', 0.4099)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.4584)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3761)
('Jane', 'PERSON', 'Q3039162', 'https://www.wikidata.org/wiki/Q3039162', 0.3813)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7058)
('Facebook', 'GPE', 'Q355', 'https://www.wikidata.org/wiki/Q355', 0.7417)
('LinkedIn', 'GPE', 'Q213660', 'https://www.wikidata.org/wiki/Q213660', 0.7039)
('Concordia', 'GPE', 'Q1913996', 'https://www.wikidata.org/wiki/Q1913996', 0.4914)
('Jane', 'PERSON', 'Q3039162', 'https://www.wikidata.org/wiki/Q3039162', 0.3813)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3761)
('Jane', 'PERSON', 'Q3039162', 'https://www.wikidata.org/wiki/Q3039162', 0.3813)
('URI', 'ORG', 'Q61694', 'https://www.wikidata.org/wiki/Q61694', 0.6206)
('RDF', 'ORG', 'Q1367488', 'https://www.wikidata.org/wiki/Q1367488', 0.6672)
('Graphs', 'PERSON', 'Q3784250', 'https://www.wikidata.org/wiki/Q3784250', 0.3768)
('Wikidata', 'ORG', 'Q2013', 'https://www.wikidata.org/wiki/Q2013', 0.894)
('Concordia', 'GPE', 'Q1913996', 'https://www.wikidata.org/wiki/Q1913996', 0.4877)
('Joe', 'PERSON', 'Q600789', 'https://www.wikidata.org/wiki/Q600789', 0.3715)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
