('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Software Engineering', 'ORG', 'Q80993', 'https://www.wikidata.org/wiki/Q80993', 0.5946)
('Concordia University', 'ORG', 'Q5159001', 'https://www.wikidata.org/wiki/Q5159001', 0.7076)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3743)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3697)
('OHH', 'ORG', 'Q2903185', 'https://www.wikidata.org/wiki/Q2903185', 0.3478)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Information Retrieval', 'ORG', 'Q816826', 'https://www.wikidata.org/wiki/Q816826', 0.6589)
('Steve Jobs', 'PERSON', 'Q19837', 'https://www.wikidata.org/wiki/Q19837', 0.754)
('Text Mining', 'ORG', 'Q676880', 'https://www.wikidata.org/wiki/Q676880', 0.7169)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Information Retrieval', 'ORG', 'Q816826', 'https://www.wikidata.org/wiki/Q816826', 0.6589)
('Steve Jobs', 'PERSON', 'Q19837', 'https://www.wikidata.org/wiki/Q19837', 0.754)
('Text Mining', 'ORG', 'Q676880', 'https://www.wikidata.org/wiki/Q676880', 0.7169)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Information Retrieval', 'ORG', 'Q816826', 'https://www.wikidata.org/wiki/Q816826', 0.6589)
('Steve Jobs', 'PERSON', 'Q18754959', 'https://www.wikidata.org/wiki/Q18754959', 0.7439)
('Text Mining', 'ORG', 'Q676880', 'https://www.wikidata.org/wiki/Q676880', 0.7169)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Artificial Intelligence', 'ORG', 'Q109875730', 'https://www.wikidata.org/wiki/Q109875730', 0.6523)
('English', 'LANGUAGE', 'Q1860', 'https://www.wikidata.org/wiki/Q1860', 0.514)
('French', 'LANGUAGE', 'Q150', 'https://www.wikidata.org/wiki/Q150', 0.5147)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.571)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.571)
('NLP', 'ORG', 'Q694299', 'https://www.wikidata.org/wiki/Q694299', 0.5551)
('UIMA', 'ORG', 'Q1539155', 'https://www.wikidata.org/wiki/Q1539155', 0.747)
('Refinitiv', 'ORG', 'Q60741469', 'https://www.wikidata.org/wiki/Q60741469', 0.6845)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Machine Learning', 'PERSON', 'Q2539', 'https://www.wikidata.org/wiki/Q2539', 0.5695)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5593)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5593)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5593)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Recommender Systems', 'ORG', 'Q554950', 'https://www.wikidata.org/wiki/Q554950', 0.685)
('Collaborative Filtering', 'FAC', 'Q94702', 'https://www.wikidata.org/wiki/Q94702', 0.7029)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Sentiment Analysis', 'WORK_OF_ART', 'Q2271421', 'https://www.wikidata.org/wiki/Q2271421', 0.616)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('IBM', 'ORG', 'Q37156', 'https://www.wikidata.org/wiki/Q37156', 0.8843)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Linked Open Data', 'WORK_OF_ART', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.9075)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Graphs', 'PERSON', 'Q3784250', 'https://www.wikidata.org/wiki/Q3784250', 0.5035)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('RDF', 'ORG', 'Q1367488', 'https://www.wikidata.org/wiki/Q1367488', 0.6672)
('Mona Lisa', 'PERSON', 'Q12418', 'https://www.wikidata.org/wiki/Q12418', 0.7362)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Named Graph', 'ORG', 'Q3115590', 'https://www.wikidata.org/wiki/Q3115590', 0.568)
('Data Space', 'ORG', 'Q370685', 'https://www.wikidata.org/wiki/Q370685', 0.2645)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9107)
('Data Space', 'ORG', 'Q370685', 'https://www.wikidata.org/wiki/Q370685', 0.4337)
('Semantic', 'NORP', 'Q796212', 'https://www.wikidata.org/wiki/Q796212', 0.4657)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6561)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('RDF', 'ORG', 'Q1367488', 'https://www.wikidata.org/wiki/Q1367488', 0.6672)
('Bahar', 'PERSON', 'Q4842420', 'https://www.wikidata.org/wiki/Q4842420', 0.4703)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Dublin Core', 'ORG', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7907)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('SAAS', 'ORG', 'Q671488', 'https://www.wikidata.org/wiki/Q671488', 0.5862)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Linked Open Data', 'WORK_OF_ART', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.9075)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('Generative', 'PERSON', 'Q36108', 'https://www.wikidata.org/wiki/Q36108', 0.3841)
('Deep Learning', 'ORG', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.7021)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Generative', 'PERSON', 'Q36108', 'https://www.wikidata.org/wiki/Q36108', 0.2393)
('Deep Learning', 'ORG', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.6139)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Generative', 'PERSON', 'Q36108', 'https://www.wikidata.org/wiki/Q36108', 0.2393)
('Deep Learning', 'ORG', 'Q197536', 'https://www.wikidata.org/wiki/Q197536', 0.6139)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('A. Turing', 'PERSON', 'Q7251', 'https://www.wikidata.org/wiki/Q7251', 0.3358)
('1950', 'DATE', 'Q748667', 'https://www.wikidata.org/wiki/Q748667', 0.3907)
('1972', 'DATE', 'Q2476', 'https://www.wikidata.org/wiki/Q2476', 0.3574)
('1995', 'DATE', 'Q2068', 'https://www.wikidata.org/wiki/Q2068', 0.356)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('A. Turing', 'PERSON', 'Q7251', 'https://www.wikidata.org/wiki/Q7251', 0.4488)
('1950', 'DATE', 'Q748667', 'https://www.wikidata.org/wiki/Q748667', 0.3862)
('1972', 'DATE', 'Q2476', 'https://www.wikidata.org/wiki/Q2476', 0.3915)
('1995', 'DATE', 'Q2068', 'https://www.wikidata.org/wiki/Q2068', 0.3908)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('A. Turing', 'PERSON', 'Q7251', 'https://www.wikidata.org/wiki/Q7251', 0.3358)
('1950', 'DATE', 'Q748667', 'https://www.wikidata.org/wiki/Q748667', 0.3907)
('1972', 'DATE', 'Q2476', 'https://www.wikidata.org/wiki/Q2476', 0.396)
('1995', 'DATE', 'Q2068', 'https://www.wikidata.org/wiki/Q2068', 0.3953)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Apple Siri', 'ORG', 'Q582159', 'https://www.wikidata.org/wiki/Q582159', 0.7779)
('2010', 'DATE', 'Q1995', 'https://www.wikidata.org/wiki/Q1995', 0.3967)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.5719)
('Apple Siri', 'ORG', 'Q582159', 'https://www.wikidata.org/wiki/Q582159', 0.7539)
('2010', 'DATE', 'Q1995', 'https://www.wikidata.org/wiki/Q1995', 0.3967)
('IBM', 'ORG', 'Q37156', 'https://www.wikidata.org/wiki/Q37156', 0.7417)
('Watson', 'PERSON', 'Q7342210', 'https://www.wikidata.org/wiki/Q7342210', 0.3883)
('2011', 'DATE', 'Q1994', 'https://www.wikidata.org/wiki/Q1994', 0.3961)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.571)
('Apple Siri', 'ORG', 'Q582159', 'https://www.wikidata.org/wiki/Q582159', 0.7539)
('2010', 'DATE', 'Q1995', 'https://www.wikidata.org/wiki/Q1995', 0.3967)
('IBM', 'ORG', 'Q37156', 'https://www.wikidata.org/wiki/Q37156', 0.7417)
('Watson', 'PERSON', 'Q7342210', 'https://www.wikidata.org/wiki/Q7342210', 0.3883)
('2011', 'DATE', 'Q1994', 'https://www.wikidata.org/wiki/Q1994', 0.3961)
('2012', 'DATE', 'Q1990', 'https://www.wikidata.org/wiki/Q1990', 0.3971)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.571)
('Apple Siri', 'ORG', 'Q582159', 'https://www.wikidata.org/wiki/Q582159', 0.7539)
('2010', 'DATE', 'Q1995', 'https://www.wikidata.org/wiki/Q1995', 0.3967)
