('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Software Engineering', 'ORG', 'Q80993', 'https://www.wikidata.org/wiki/Q80993', 0.6972)
('Concordia University', 'ORG', 'Q5159001', 'https://www.wikidata.org/wiki/Q5159001', 0.737)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Text', 'ORG', 'Q234460', 'https://www.wikidata.org/wiki/Q234460', 0.5025)
('Language Models', 'WORK_OF_ART', 'Q61726893', 'https://www.wikidata.org/wiki/Q61726893', 0.1942)
('Knowledge Graphs', 'PERSON', 'Q324254', 'https://www.wikidata.org/wiki/Q324254', 0.6576)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3697)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('IBM', 'ORG', 'Q37156', 'https://www.wikidata.org/wiki/Q37156', 0.6864)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.7843)
('A2', 'FAC', 'Q888603', 'https://www.wikidata.org/wiki/Q888603', 0.487)
('A2', 'FAC', 'Q888603', 'https://www.wikidata.org/wiki/Q888603', 0.487)
('A2', 'ORG', 'Q888603', 'https://www.wikidata.org/wiki/Q888603', 0.487)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.7084)
