('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Software Engineering', 'ORG', 'Q80993', 'https://www.wikidata.org/wiki/Q80993', 0.4743)
('Concordia University', 'ORG', 'Q5159001', 'https://www.wikidata.org/wiki/Q5159001', 0.7076)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3743)
('Vocabularies', 'ORG', 'Q4052547', 'https://www.wikidata.org/wiki/Q4052547', 0.2442)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Text', 'ORG', 'Q65175049', 'https://www.wikidata.org/wiki/Q65175049', 0.374)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Vocabularies', 'ORG', 'Q4052547', 'https://www.wikidata.org/wiki/Q4052547', 0.2442)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.6197)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('§', 'NORP', 'Q189248', 'https://www.wikidata.org/wiki/Q189248', 0.5002)
('§', 'NORP', 'Q189248', 'https://www.wikidata.org/wiki/Q189248', 0.5002)
('\uf07d\u202f ', 'ORG', 'Q11152836', 'https://www.wikidata.org/wiki/Q11152836', 0.3432)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('Turtle', 'ORG', 'Q114409', 'https://www.wikidata.org/wiki/Q114409', 0.5612)
('Json', 'PERSON', 'Q19281804', 'https://www.wikidata.org/wiki/Q19281804', 0.6949)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Le', 'FAC', 'Q4587', 'https://www.wikidata.org/wiki/Q4587', 0.3589)
('Dublin Core\n\n', 'WORK_OF_ART', 'Q624610', 'https://www.wikidata.org/wiki/Q624610', 0.7637)
('Unicode', 'GPE', 'Q8819', 'https://www.wikidata.org/wiki/Q8819', 0.9028)
