('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Software Engineering', 'ORG', 'Q80993', 'https://www.wikidata.org/wiki/Q80993', 0.5946)
('Concordia University', 'ORG', 'Q5159001', 'https://www.wikidata.org/wiki/Q5159001', 0.7076)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Linked Open Data', 'EVENT', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.7779)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3743)
('Linked Open Data', 'EVENT', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.6972)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Wordpress.com', 'ORG', 'Q2001888', 'https://www.wikidata.org/wiki/Q2001888', 0.2664)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3743)
('Linked Open Data', 'EVENT', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.753)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('OWL', 'ORG', 'Q994371', 'https://www.wikidata.org/wiki/Q994371', 0.6321)
('2009', 'DATE', 'Q1996', 'https://www.wikidata.org/wiki/Q1996', 0.3917)
('Description Logics', 'ORG', 'Q387196', 'https://www.wikidata.org/wiki/Q387196', 0.4606)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Amsterdam', 'GPE', 'Q727', 'https://www.wikidata.org/wiki/Q727', 0.7091)
('DBpedia', 'ORG', 'Q465', 'https://www.wikidata.org/wiki/Q465', 0.9155)
('Geonames', 'PERSON', 'Q830106', 'https://www.wikidata.org/wiki/Q830106', 0.7358)
('Linking', 'GPE', 'Q4979734', 'https://www.wikidata.org/wiki/Q4979734', 0.3694)
('Linked Open Data', 'ORG', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.9075)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('OWL', 'ORG', 'Q994371', 'https://www.wikidata.org/wiki/Q994371', 0.6321)
('OWL', 'ORG', 'Q994371', 'https://www.wikidata.org/wiki/Q994371', 0.6321)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3916)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('OWL', 'ORG', 'Q994371', 'https://www.wikidata.org/wiki/Q994371', 0.6321)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('OWL', 'ORG', 'Q826165', 'https://www.wikidata.org/wiki/Q826165', 0.7952)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('OWL', 'ORG', 'Q826165', 'https://www.wikidata.org/wiki/Q826165', 0.7952)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Description Logic', 'ORG', 'Q387196', 'https://www.wikidata.org/wiki/Q387196', 0.6131)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('OWL', 'ORG', 'Q826165', 'https://www.wikidata.org/wiki/Q826165', 0.6616)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('Poetry', 'ORG', 'Q482', 'https://www.wikidata.org/wiki/Q482', 0.4721)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('UniProt', 'ORG', 'Q905695', 'https://www.wikidata.org/wiki/Q905695', 0.7742)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3697)
('Linked Open Data', 'EVENT', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.9075)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
('§', 'NORP', 'Q1136371', 'https://www.wikidata.org/wiki/Q1136371', 0.3906)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('SELECT', 'ORG', 'Q1164001', 'https://www.wikidata.org/wiki/Q1164001', 0.5062)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('33', 'MONEY', 'Q1362760', 'https://www.wikidata.org/wiki/Q1362760', 0.3699)
('50', 'MONEY', 'Q7642193', 'https://www.wikidata.org/wiki/Q7642193', 0.3651)
('60', 'MONEY', 'Q79998', 'https://www.wikidata.org/wiki/Q79998', 0.3651)
('78', 'MONEY', 'Q16629185', 'https://www.wikidata.org/wiki/Q16629185', 0.3694)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.381)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('33', 'MONEY', 'Q1362760', 'https://www.wikidata.org/wiki/Q1362760', 0.3699)
('50', 'MONEY', 'Q7642193', 'https://www.wikidata.org/wiki/Q7642193', 0.3651)
('60', 'MONEY', 'Q79998', 'https://www.wikidata.org/wiki/Q79998', 0.3651)
('78', 'MONEY', 'Q16629185', 'https://www.wikidata.org/wiki/Q16629185', 0.3694)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.381)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('33', 'MONEY', 'Q1362760', 'https://www.wikidata.org/wiki/Q1362760', 0.3699)
('50', 'MONEY', 'Q7642193', 'https://www.wikidata.org/wiki/Q7642193', 0.3651)
('60', 'MONEY', 'Q79998', 'https://www.wikidata.org/wiki/Q79998', 0.3651)
('78', 'MONEY', 'Q16629185', 'https://www.wikidata.org/wiki/Q16629185', 0.3694)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.381)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('33', 'MONEY', 'Q1362760', 'https://www.wikidata.org/wiki/Q1362760', 0.3699)
('50', 'MONEY', 'Q7642193', 'https://www.wikidata.org/wiki/Q7642193', 0.3651)
('60', 'MONEY', 'Q79998', 'https://www.wikidata.org/wiki/Q79998', 0.3651)
('78', 'MONEY', 'Q16629185', 'https://www.wikidata.org/wiki/Q16629185', 0.3694)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.381)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('33', 'MONEY', 'Q1362760', 'https://www.wikidata.org/wiki/Q1362760', 0.3699)
('50', 'MONEY', 'Q7642193', 'https://www.wikidata.org/wiki/Q7642193', 0.3651)
('60', 'MONEY', 'Q79998', 'https://www.wikidata.org/wiki/Q79998', 0.3651)
('78', 'MONEY', 'Q16629185', 'https://www.wikidata.org/wiki/Q16629185', 0.3694)
('Ghosh', 'PERSON', 'Q22276849', 'https://www.wikidata.org/wiki/Q22276849', 0.381)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('Outline', 'EVENT', 'Q60765582', 'https://www.wikidata.org/wiki/Q60765582', 0.3697)
('Linked Open Data', 'EVENT', 'Q515701', 'https://www.wikidata.org/wiki/Q515701', 0.9075)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('RDF', 'ORG', 'Q3575678', 'https://www.wikidata.org/wiki/Q3575678', 0.8241)
('RDFS', 'ORG', 'Q1751819', 'https://www.wikidata.org/wiki/Q1751819', 0.7728)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('LOD', 'ORG', 'Q1821756', 'https://www.wikidata.org/wiki/Q1821756', 0.5371)
('RDF', 'ORG', 'Q54872', 'https://www.wikidata.org/wiki/Q54872', 0.8418)
