('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.8041)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.8041)
('Software Engineering', 'ORG', 'Q80993', 'https://www.wikidata.org/wiki/Q80993', 0.6972)
('Concordia University', 'ORG', 'Q5159001', 'https://www.wikidata.org/wiki/Q5159001', 0.737)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.8041)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('Motivation', 'ORG', 'Q644302', 'https://www.wikidata.org/wiki/Q644302', 0.4147)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('AI', 'ORG', 'Q2494121', 'https://www.wikidata.org/wiki/Q2494121', 0.452)
('ML', 'ORG', 'Q860654', 'https://www.wikidata.org/wiki/Q860654', 0.42)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('Learn', 'WORK_OF_ART', 'Q133500', 'https://www.wikidata.org/wiki/Q133500', 0.3167)
('1959', 'DATE', 'Q5302', 'https://www.wikidata.org/wiki/Q5302', 0.3486)
('Arthur Samuel', 'PERSON', 'Q710266', 'https://www.wikidata.org/wiki/Q710266', 0.4635)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('P', 'ORG', 'Q846354', 'https://www.wikidata.org/wiki/Q846354', 0.3382)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.6663)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.6663)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.6663)
('RDFS', 'ORG', 'Q1751819', 'https://www.wikidata.org/wiki/Q1751819', 0.901)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.6663)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.6663)
('John', 'PERSON', 'Q36766', 'https://www.wikidata.org/wiki/Q36766', 0.3402)
('John', 'PERSON', 'Q36766', 'https://www.wikidata.org/wiki/Q36766', 0.3402)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('Machine Learning', 'PERSON', 'Q6723676', 'https://www.wikidata.org/wiki/Q6723676', 0.4562)
('CS', 'ORG', 'Q209357', 'https://www.wikidata.org/wiki/Q209357', 0.3562)
('COMP', 'ORG', 'Q15320335', 'https://www.wikidata.org/wiki/Q15320335', 0.3512)
('CS', 'ORG', 'Q209357', 'https://www.wikidata.org/wiki/Q209357', 0.3562)
